frame,stem,n_removed,tex_gt,tex_null_med,tex_ratio,lam_all,lam_gt,n_plain,n_tex,lam_plain_med,lam_plain_q05,lam_tex_med,lam_tex_q05,loss_gt,loss_pred_at_tex_gt,loss_resid_sd
12,1548266066.17733,3123,47.19402313232422,14.3283052444458,3.293761706438968,759085.6580905406,740508.9125926987,32,2,749950.7690720197,727481.5673003545,740513.0709124542,nan,0.024472528626836576,0.06393959818267274,0.010374584028435127
13,1548266066.24407,2916,26.482080459594727,6.9652814865112305,3.802011521125052,865616.3143250699,851009.5295066924,32,32,860985.5166675644,844621.6701564225,849081.5226911537,825090.0025981546,0.01687443336805239,0.02233532778273481,0.004634619315025529
14,1548266066.31080,6077,39.58073425292969,19.595479011535645,2.0198911304811147,600956.5253456286,582873.214492286,32,32,587048.7526498325,573402.5108845087,583062.1098411629,573260.6388592995,0.0300908802728157,0.03649943403045426,0.011931270045832072
15,1548266066.37754,1244,24.525447845458984,3.441301941871643,7.126793364757807,1706836.1044621454,1334739.709463898,32,8,1703229.3300880478,1688971.6673385743,1666242.9737909748,1339521.1705278996,0.21800358805715647,0.09087467721022924,0.023132945469414773
16,1548266066.44424,1002,10.65629768371582,1.4361746311187744,7.419917782153418,505952.4892333666,500699.7864547737,32,12,505164.54398048326,496683.24846249266,503293.4184843066,500560.72868544405,0.010381810328776053,0.018306375531148465,0.004643132645558179
17,1548266066.51098,1396,18.948091506958008,3.4338313341140747,5.518061215970177,631355.0982425924,621120.0483499009,32,14,627986.0660924269,621469.2268888351,627849.5136899643,622706.5367317677,0.01621124137776242,0.012166101835903213,0.004569232256165568
18,1548266066.57772,1305,15.78264331817627,4.960517883300781,3.1816523374116596,601595.0150719733,594580.5240764573,32,17,598301.6038466825,593670.635895621,596106.1931587593,593342.6101888465,0.011659822338582537,0.012134800099506725,0.0032201607234580818
19,1548266066.64446,2076,31.048343658447266,5.606286525726318,5.538130011010241,589085.0261620791,571725.0874418769,32,6,584781.8187545444,573345.2371892711,584404.9842059175,nan,0.029469326072168456,0.027763090437749785,0.00920156603743389
20,1548266066.67782,2311,21.883129119873047,4.848491191864014,4.513389476007283,1570562.0638918015,1526764.3463673557,32,32,1564470.2624867386,1545200.3527187647,1560300.4484997368,1530763.9305223327,0.027886651875390744,0.009174028261086167,0.004160277348564474
21,1548266066.74456,699,21.186769485473633,1.4099963903427124,15.026116116739843,645994.5095389443,636994.3199182494,32,2,643846.9512600761,634164.2324632353,640503.3167031484,nan,0.013932300488309957,0.02583133878255588,0.0042202192745234
22,1548266066.81129,1021,20.126930236816406,2.097768545150757,9.594447530134921,680125.0145311292,670068.6559160319,32,5,679024.1986883865,674602.0641320444,677483.0002919441,nan,0.014786044330438286,0.00690306089826438,0.002609145043311897
23,1548266066.87806,1761,17.023942947387695,3.3977454900741577,5.010364371645782,568567.0688045325,553389.4636807864,32,8,564002.6230333629,559042.9309809725,559671.8018308876,555227.3704939858,0.026694485059886586,0.011733992347152424,0.004136893219461293
24,1548266066.94480,904,21.08744239807129,1.908051073551178,11.05182282087675,714839.2835744563,708065.4629993828,32,3,713905.4215068535,707617.5340251657,711789.273706654,nan,0.009476004929670379,0.022112313079113346,0.0029298474569647666
