frame,stem,n_valid,n_removed,removed_frac,depth_med_masked,n_null,n_dmatch,overlap_med,lam_all,logdet_all,lam_gt,logdet_gt,lam_null_med,lam_null_q05,logdet_null_med,logdet_null_q05,lam_ctrl,logdet_ctrl,lam_dmatch_med,lam_dmatch_q05
13,1548266188.13534,264489,9259,0.03500712695045919,2.4670000076293945,32,32,0.0063232421875,1734597.7199416042,101.64232902704205,1689800.736537171,101.23216422114926,1668252.2176731117,1588494.1544761418,101.32271460827371,101.25619896367157,1689712.3589212687,101.43422679969642,1676248.3302518292,1583262.5542152356
14,1548266188.20206,264683,9802,0.037032979073079876,2.503000020980835,32,32,0.005836588541666667,1612206.8521172125,101.08795613177335,1561822.2589076522,100.62371939603807,1542512.2258598227,1483345.9132850263,100.7720925785222,100.70578556721664,1520823.7805185737,100.75188949771463,1554370.1417534794,1493803.3349511183
15,1548266188.30214,265128,11279,0.04254171569958661,2.5409998893737793,32,32,0.0024755859375,1585775.850059123,100.93954692171073,1509342.5198381832,100.37738809073116,1531250.0202742657,1459784.5323731352,100.69191436867595,100.5112010782047,1546448.4176104225,100.74348995974606,1535952.2342465068,1433547.949143754
16,1548266188.36888,264786,8852,0.03343077050901483,2.503000020980835,32,32,0.0025390625,1637173.7053497874,101.19157616297788,1583483.4540712358,100.7829445115925,1588808.201262358,1528349.9806885188,100.94421867098822,100.83855586545293,1548558.93856813,100.87861279001324,1592323.9973795936,1533240.1544584448
17,1548266188.43561,264060,2435,0.009221389078239795,2.6589999198913574,32,32,0.0,1767499.5499499768,101.83944166008735,1738856.1600513975,101.73136586289917,1756490.8091581943,1723540.0921853946,101.79168081649846,101.72345683556709,1761126.5597674793,101.80182208226026,1753501.4358308397,1717303.1940205952
18,1548266188.53572,262877,2141,0.008144493432289625,3.2690000534057617,32,32,0.0,1788370.1978717202,102.0004022335977,1750866.918693874,101.85841921557436,1774772.1732802168,1743843.6414394958,101.94757809255967,101.90731318673062,1778817.0630160829,101.98711247408477,1778814.1757805622,1759563.5353850652
19,1548266188.60246,263612,10602,0.04021819947498596,2.5789999961853027,32,32,0.004264322916666666,1659275.849443639,101.4971007918621,1593479.6793966594,101.02095398143351,1604227.129840768,1554895.4616420947,101.22539055306643,101.11166409184055,1573499.934497684,101.15209728943944,1609377.5446195188,1568709.4293962158
20,1548266188.66921,262755,8036,0.030583623527620788,2.3980000019073486,32,32,0.0,1701092.6429277894,101.77743610134797,1665292.7325237961,101.34382367061247,1665552.6306147196,1633143.4041686384,101.63995112347554,101.41937932201493,1669376.652347791,101.57130058214304,1659900.1927979912,1587336.22868492
21,1548266188.76932,261298,1356,0.0051894771486961245,2.9579999446868896,32,32,0.0,1780521.6421063002,102.21248891232771,1775043.7747612535,102.19381021850913,1773703.1639231704,1757532.2437532975,102.18821260262366,102.14743091433725,1774574.804728965,102.17543192236363,1774434.140431741,1762545.646698777
22,1548266188.83605,259465,987,0.0038039812691499815,3.2690000534057617,32,32,0.0,1675752.7101630466,102.07756343584191,1666962.8084194874,102.0396422779051,1671615.8545617645,1661176.3496024045,102.06451248304629,102.03588763562348,1664828.4979435229,102.04480170313914,1669288.2191405296,1658021.7217405252
