frame,rgb,depth_stem,person_px,gtmc_px,valid_px,static_support_px,fp_px,fp_inside_union_px,fp_outside_union_px,fn_px,fp_outside_w5_px,fp_outside_w15_px,fp_outside_w30_px
80,rgb/1548266472.56656.png,1548266472.55169,52262,2298,263246,261062,48448,48448,0,2184,44390,11247,6695
81,rgb/1548266472.60015.png,1548266472.58506,51777,5926,263758,258133,48114,48114,0,5625,43675,10624,6414
82,rgb/1548266472.63407.png,1548266472.61843,50628,2579,264589,262084,47224,47224,0,2176,42768,9837,6000
83,rgb/1548266472.66759.png,1548266472.65180,49051,9596,264725,255602,45864,45864,0,8895,41078,8569,5041
84,rgb/1548266472.70104.png,1548266472.68517,48238,15836,265075,249850,41332,41332,0,11326,39969,8333,4799
85,rgb/1548266472.73455.png,1548266472.71854,46982,11593,265157,254123,43985,43985,0,10842,39317,7952,4825
86,rgb/1548266472.76797.png,1548266472.75190,46205,17521,265679,248832,43601,43601,0,16779,38747,6885,3836
87,rgb/1548266472.80158.png,1548266472.78525,45659,12642,263464,251353,39279,39279,0,8958,8201,6579,3639
88,rgb/1548266472.83510.png,1548266472.81862,44926,12288,263834,251987,38855,38855,0,8848,7775,6167,3381
89,rgb/1548266472.86852.png,1548266472.85199,43131,9850,265480,256062,40373,40373,0,9344,5686,4725,2578
90,rgb/1548266472.90203.png,1548266472.88536,42798,12001,264484,252960,40140,40140,0,11493,4602,3808,1480
91,rgb/1548266472.93555.png,1548266472.95207,42162,6543,264977,258812,38760,38760,0,6165,3857,3570,1578
92,rgb/1548266472.96907.png,1548266472.98544,41534,59484,265439,208672,5560,5560,0,23307,3661,3232,1752
93,rgb/1548266473.00251.png,1548266473.01881,40772,10218,263675,253886,37152,37152,0,9789,2479,2197,1476
94,rgb/1548266473.03610.png,1548266473.05218,40756,43396,264421,223346,5804,5804,0,9587,2291,2132,1396
95,rgb/1548266473.06961.png,1548266473.08555,39333,44947,266145,223206,5317,5317,0,11664,1884,1762,1122
96,rgb/1548266473.10306.png,1548266473.11892,40143,44612,264408,222407,5943,5943,0,11041,1938,1707,535
97,rgb/1548266473.13650.png,1548266473.15232,39106,39389,263705,226422,6102,6102,0,7636,2099,1905,490
98,rgb/1548266473.17002.png,1548266473.18569,38638,44293,265719,224040,5729,5729,0,11553,2128,703,411
99,rgb/1548266473.20353.png,1548266473.21906,38631,37176,262940,228016,6004,6004,0,5873,2590,835,290
100,rgb/1548266473.23702.png,1548266473.25243,39657,6246,264473,258677,36418,36418,0,5706,3653,1036,269
101,rgb/1548266473.27053.png,1548266473.28580,40404,6182,265253,259452,36950,36950,0,5607,4485,976,287
102,rgb/1548266473.30402.png,1548266473.31917,39735,5928,263632,258013,35975,35975,0,5160,4586,958,237
103,rgb/1548266473.33748.png,1548266473.35253,39659,5093,262360,257530,35813,35813,0,4830,4613,870,205
104,rgb/1548266473.37099.png,1548266473.38590,39617,8503,263256,255111,35937,35937,0,8145,6106,995,151
105,rgb/1548266473.40451.png,1548266473.41924,39673,9148,262633,253841,35117,35117,0,8311,31163,343,138
106,rgb/1548266473.43808.png,1548266473.45259,39763,13100,264465,252009,35284,35284,0,11708,31020,423,165
107,rgb/1548266473.47160.png,1548266473.48601,39651,9794,266072,256909,35609,35609,0,8052,31102,484,185
108,rgb/1548266473.50513.png,1548266473.51934,39860,10879,264491,254345,34362,34362,0,8271,12382,495,193
109,rgb/1548266473.53864.png,1548266473.55271,39812,12081,264930,253581,34190,34190,0,9253,10685,571,110
110,rgb/1548266473.57216.png,1548266473.58608,40477,9630,265176,255935,35529,35529,0,7439,11046,997,288
111,rgb/1548266473.60568.png,1548266473.61943,40469,7243,264353,257477,34742,34742,0,4987,9801,1082,297
112,rgb/1548266473.63921.png,1548266473.65280,41303,3580,265265,261756,35064,35064,0,849,10333,1713,327
113,rgb/1548266473.67272.png,1548266473.68617,42235,28667,265551,238242,16518,16518,0,5748,9519,2105,267
114,rgb/1548266473.70624.png,1548266473.71952,43383,31798,264514,234089,14806,14806,0,6027,10224,2337,312
115,rgb/1548266473.73980.png,1548266473.75291,43967,7086,265632,258695,37115,37115,0,4184,5987,5278,382
116,rgb/1548266473.77372.png,1548266473.78628,43327,8227,264442,256420,36615,36615,0,5420,5923,3574,374
117,rgb/1548266473.80731.png,1548266473.81965,44342,8299,265386,257213,37885,37885,0,5293,6996,3927,714
118,rgb/1548266473.84083.png,1548266473.85302,44769,3207,264502,261672,38182,38182,0,372,6931,3457,650
119,rgb/1548266473.87435.png,1548266473.88639,44927,6124,265633,259647,40775,40775,0,5955,6995,3028,602
120,rgb/1548266473.90786.png,1548266473.91976,43630,30591,266994,237487,32861,32861,0,22092,27211,2623,826
121,rgb/1548266473.94138.png,1548266473.95313,45472,9957,265055,255740,38182,38182,0,6685,26739,2369,876
122,rgb/1548266473.97489.png,1548266473.98650,47000,7234,265955,258978,42247,42247,0,6374,27514,2426,1058
123,rgb/1548266474.00841.png,1548266474.01987,45856,12193,265893,254008,39307,39307,0,8933,29151,2508,1282
124,rgb/1548266474.04184.png,1548266474.05322,46658,26701,266014,240109,39823,39823,0,22633,29708,2264,1375
125,rgb/1548266474.07500.png,1548266474.08658,47673,32845,265474,234161,39706,39706,0,27130,30621,2377,1411
126,rgb/1548266474.10851.png,1548266474.11995,49082,16422,265532,249877,41584,41584,0,11536,9782,2744,1601
127,rgb/1548266474.14203.png,1548266474.15332,49800,32332,265635,234765,41082,41082,0,25928,10699,2931,1810
128,rgb/1548266474.17555.png,1548266474.18669,49060,19039,265260,247194,40160,40160,0,13056,9074,3014,1874
129,rgb/1548266474.20906.png,1548266474.22006,50834,11747,264801,253778,43085,43085,0,7072,8813,3229,2753
